timestamp,user_id,mode,event,field,value,entity_id,elapsed_time
1759330840.40237,hijikata,パーソナライズUI,meta,task,start,,3.7158920764923096
1759330841.942036,hijikata,パーソナライズUI,button,add_row,その他,r1,3.7158920764923096
1759330844.117431,hijikata,パーソナライズUI,button,button,登録,,3.7158920764923096
1759330872.28158,hijikata,パーソナライズUI,meta,task,start,,3.555665969848633
1759330873.47966,hijikata,パーソナライズUI,button,add_row,その他,r1,3.555665969848633
1759330875.831862,hijikata,パーソナライズUI,button,button,登録,,3.555665969848633
1759331679.2053308,hijikata,パーソナライズUI,meta,task,start,,4.881680011749268
1759331682.043479,hijikata,パーソナライズUI,button,add_row,その他 追加,r1,4.881680011749268
1759331684.085356,hijikata,パーソナライズUI,button,button,登録,,4.881680011749268
1759331693.398221,hijikata,パーソナライズUI,meta,task,start,,28.20403504371643
1759331721.600447,hijikata,パーソナライズUI,button,button,クリア,,28.20403504371643
